OTU,Domain,Phylum,Class,Order,Family,Genus,Species
a491401f35e4ae041935e5fdc591b486,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,
76c2959e35d029448caab39d8c37de7b,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,
0047c334db6003fd4db9069fea69c901,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,uncultured_bacterium
4608fae4bbc9964cdd17af8782f2155e,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,
78c66fb5eaa3a7cb4c51043cafb34198,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,
92a9215cf508b92eeaea884a441bad59,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter,
097dcdc3c91b5b334c58a38beddfe215,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
dbbb6e74a11d22001d56aa59df53de81,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Klenkia,
fda46e5df565bd414cbe82d425b68504,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
b94deb66f66339ad10f53186d2e8a65d,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
227ba6c00dab5c8f73254b4130bb13d0,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadales,Armatimonadales,uncultured_bacterium
2933fd3552a82eb16ed1c7282489e611,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,
26ba1c3be9fb102889afcb9d61e730e7,Bacteria,Firmicutes,Thermoanaerobacteria,Thermoanaerobacterales,Family_III,Thermoanaerobacterium,
